Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A538641,OWNER SUR,12/17/2025,*JOHN,CAT,7 YEARS,LARGE,GRAY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538641&location=MONT,
A538715,OWNER SUR,12/21/2025,GEORGE,OTHER,3 YEARS,SMALL,WHITE / BLACK,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538715&location=MONT,
A538716,OWNER SUR,12/21/2025,EMERSON,OTHER,3 YEARS,SMALL,GRAY / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538716&location=MONT,
A538754,OWNER SUR,12/22/2025,SASHI,DOG,4 YEARS,MED,BLACK / WHITE,SIBERIAN HUSKY / BULL TERRIER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538754&location=MONT,
A536012,OWNER SUR,09/27/2025,MISS WAVERLY,CAT,6 YEARS,MED,GRAY TAB,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536012&location=MONT,
A514149,OWNER SUR,10/02/2025,NAJIA,DOG,3 YEARS,LARGE,WHITE / BROWN,BULL TERRIER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514149&location=MONT,
A538458,OWNER SUR,12/11/2025,*PLANTAIN,OTHER,NO AGE,SMALL,WHITE,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538458&location=MONT,
A535584,CONFISCATE,09/14/2025,*SURGE,DOG,2 YEARS,LARGE,BRINDLE / WHITE,AMER BULLDOG / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535584&location=MONT,
A535716,RETURN,10/22/2025,*CURTIS,DOG,2 YEARS,LARGE,GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535716&location=MONT,
A538037,OWNER SUR,11/28/2025,DAISY,DOG,7 YEARS,LARGE,GRAY / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538037&location=MONT,
A537889,OWNER SUR,11/22/2025,*EDGE,DOG,4 YEARS,MED,BLACK / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537889&location=MONT,
A536421,RETURN,10/26/2025,MINION,DOG,3 YEARS,LARGE,BLACK / WHITE,BOXER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536421&location=MONT,
A522439,OWNER SUR,05/27/2025,ROSIE,DOG,2 YEARS,MED,BLACK / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A522439&location=MONT,
A514568,CONFISCATE,10/01/2025,ZINA,DOG,6 YEARS,MED,TAN / WHITE,AMERICAN STAFF,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514568&location=MONT,
A528797,OWNER SUR,12/04/2025,PHIN,OTHER,1 YEAR 10 MONTHS,MED,WHITE / BROWN,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528797&location=MONT,
A534501,RETURN,09/30/2025,TRINITY,DOG,1 YEAR 8 MONTHS,MED,BRINDLE / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A534501&location=MONT,
A538626,BOARDING,12/17/2025,*GOLDFISH2,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538626&location=MONT,
A538629,BOARDING,12/17/2025,*GOLDFISH5,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538629&location=MONT,
A538627,BOARDING,12/17/2025,*GOLDFISH3,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538627&location=MONT,
A525829,OWNER SUR,12/18/2025,CHICO,DOG,3 YEARS,MED,WHITE / BLACK,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525829&location=MONT,
A538625,BOARDING,12/17/2025,*GOLDFISH1,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538625&location=MONT,
A538717,OWNER SUR,12/21/2025,THOR,DOG,1 YEAR 1 MONTH,MED,WHITE / BROWN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538717&location=MONT,
A514404,OWNER SUR,11/14/2025,KAYLA,DOG,3 YEARS,MED,BLACK / WHITE,LABRADOR RETR / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514404&location=MONT,
A536869,OWNER SUR,12/12/2025,KILO,DOG,1 YEAR 3 MONTHS,LARGE,WHITE / BLACK,LABRADOR RETR / BORDER COLLIE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536869&location=MONT,
A534659,OWNER SUR,08/17/2025,ETHAN,CAT,1 YEAR 2 MONTHS,MED,WHITE / GRAY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A534659&location=MONT,
A478716,OWNER SUR,10/10/2025,BANANA,DOG,9 YEARS,LARGE,BLACK / WHITE,BOXER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A478716&location=MONT,
A535079,OWNER SUR,08/29/2025,CUTIE,DOG,8 YEARS,LARGE,BLUE / BROWN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535079&location=MONT,
A537901,OWNER SUR,11/23/2025,ODESSA,DOG,11 YEARS,LARGE,BRINDLE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537901&location=MONT,
A538338,OWNER SUR,12/06/2025,*STUFFIN',CAT,2 YEARS,MED,BRN TABBY / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538338&location=MONT,
A536830,RETURN,12/06/2025,*FOODIE,DOG,2 YEARS,MED,BLACK / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536830&location=MONT,
A538610,BOARDING,12/17/2025,POUNDS,DOG,13 YEARS,LARGE,BLACK / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538610&location=MONT,
A538705,OWNER SUR,12/21/2025,SKY,OTHER,2 YEARS,LARGE,TAN,HAMSTER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538705&location=MONT,
A533749,RETURN,12/19/2025,JEFE,DOG,5 YEARS,LARGE,RED / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533749&location=MONT,
A535118,OWNER SUR,12/20/2025,CREME BRULEE,DOG,2 YEARS,LARGE,FAWN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535118&location=MONT,
A348332,RETURN,12/23/2025,TIRAMISU,CAT,15 YEARS,MED,BRN TABBY / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A348332&location=MONT,
A538628,BOARDING,12/17/2025,*GOLDFISH4,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538628&location=MONT,
A532658,OWNER SUR,12/29/2025,MILO,DOG,2 YEARS,LARGE,WHITE / BRINDLE,AKITA / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A532658&location=MONT,
A484117,RETURN,06/15/2025,ROCKY,DOG,5 YEARS,MED,BLACK / WHITE,SIBERIAN HUSKY / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A484117&location=MONT,
A539037,OWNER SUR,01/02/2026,*QUERRY,BIRD,2 WEEKS,SMALL,CREAM,GAMEFOWL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A539037&location=MONT,
A539038,OWNER SUR,01/02/2026,*QUINTON,BIRD,2 WEEKS,SMALL,WHITE,GAMEFOWL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A539038&location=MONT,
A538201,BOARDING,12/02/2025,FISH 48,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538201&location=MONT,
A538205,BOARDING,12/02/2025,FISH 52,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538205&location=MONT,
A538200,BOARDING,12/02/2025,FISH 47,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538200&location=MONT,
A538203,BOARDING,12/02/2025,FISH 50,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538203&location=MONT,
A538204,BOARDING,12/02/2025,FISH 51,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538204&location=MONT,
A538202,BOARDING,12/02/2025,FISH 49,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538202&location=MONT,
A533200,OWNER SUR,09/23/2025,*DOMER,DOG,5 YEARS,X-LRG,BLUE,CANE CORSO,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533200&location=MONT,
A537312,STRAY,12/22/2025,*WALTER,DOG,4 YEARS,MED,TAN / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537312&location=MONT,"18200 LOST KNIFE CIR, MONTGOMERY VILLAGE MD 20886"
A538876,STRAY,12/27/2025,*KOOLABURRA,CAT,1 YEAR 1 MONTH,MED,TORTIE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538876&location=MONT,"3800 BEL PRE RD, SILVER SPRING MD 20906"
A538489,STRAY,12/12/2025,*THERESA,DOG,11 MONTHS,MED,BROWN / TAN,ROTTWEILER / CHINESE SHARPEI,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538489&location=MONT,"16000 SHADY GROVE RD, ROCKVILLE MD 20850"
A537062,STRAY,10/28/2025,*TRUFFLE,DOG,1 YEAR 1 MONTH,MED,BRINDLE / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537062&location=MONT,"300 W DEER PARK RD, GAITHERSBURG MD 20877"
A538739,STRAY,12/22/2025,*OOGIE BOOGIE,CAT,2 YEARS,MED,BLUE / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538739&location=MONT,"1600 BLK E JEFFERSON ST, ROCKVILLE MD 20852"
A538368,OWNER SUR,12/07/2025,OLIN,OTHER,12 YEARS,MED,GREEN,TURTLE / REDEARED SLIDER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538368&location=MONT,
A494274,CONFISCATE,10/10/2025,DOUG,DOG,4 YEARS,LARGE,BLACK / WHITE,POINTER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494274&location=MONT,
